Job Title,Company,Salary,Location
Trưởng nhóm Lập trình Java (tham gia các cuộc thi trong và ngoài nước về lập trình) (MỚI),Tổng Công ty Cổ phần Công trình Viettel,Lương: 30 Tr - 40 Tr VND,Hà Nội
Network Engineer - Kỹ Sư Mạng (Không Yêu Cầu Kinh Nghiệm),KDDI Vietnam - HCM GNOC (Ho Chi Minh Global Network Operations Center),Lương: 11 Tr - 13 Tr VND,Hồ Chí Minh
Quality Assurance Manager (Test Automation Manager),Công Ty CP Dược Phẩm Pharmacity,Lương: Cạnh tranh,Hồ Chí Minh
ELV Engineer - Kỹ Sư Điện Nhẹ,Công Ty Cổ Phần Netcab,Lương: 10 Tr - 18 Tr VND,Hà Nội
Threat and Process Compliance Lead,Coca-Cola Beverages Vietnam,Lương: Cạnh tranh,Hồ Chí Minh
"Sales Leader B2B/ Trưởng Nhóm Kinh Doanh Phần Mềm, Thu Nhập 15 - 40 Triệu, Nghỉ T7 & CN",Công Ty TNHH CNV HOLDINGS,Lương: 15 Tr - 40 Tr VND,"Hồ Chí Minh
Hà Nội"
Product Owner,Công ty Cổ phần Tập đoàn Meey Land,Lương: 30 Tr - 45 Tr VND,Hà Nội
Senior Data Governance Officer,LOTTE FINANCE VIETNAM,Lương: Cạnh tranh,Hà Nội
SMART CONTRACT DEVELOPER (Solidity) (MỚI),Công ty Cổ phần Tập đoàn Meey Land,Lương: 15 Tr - 40 Tr VND,Hà Nội
Chuyên viên tư vấn triển khai phần mềm ERP (MỚI),Công ty TNHH Công nghệ và Giải pháp Omega,Lương: 12 Tr - 30 Tr VND,Hồ Chí Minh
Kỹ sư An toàn thông tin,Tổng Công ty Sản xuất thiết bị Viettel - Tập đoàn Công nghiệp - Viễn thông Quân đội (VIETTEL),Lương: Cạnh tranh,Hà Nội
Software Development Officer,"Rochdale Spears Co., Ltd.",Lương: Cạnh tranh,Bình Dương
Senior Project Supervisor (MỚI),Công ty TNHH Olam Việt Nam,Lương: Cạnh tranh,Đồng Nai
Junior Product Owner (MỚI),Công ty Cổ phần Masscom Việt Nam,Lương: 15 Tr - 25 Tr VND,Hà Nội
Chuyên Viên RM Tiếng Anh,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Lương: Cạnh tranh,Hồ Chí Minh
Sales Director (IT Industry),Công Ty Cổ Phần Netcab,Lương: Cạnh tranh,Hồ Chí Minh
Kỹ Sư IT - Biết Tiếng Trung,CÔNG TY TNHH CÔNG NGHIỆP CHERVON (VIỆT NAM),Lương: 15 Tr - 25 Tr VND,Bình Dương
IT Storage Solution Manager/ Engineer,CÔNG TY TNHH CÔNG NGHỆ HUAWEI VIỆT NAM,Lương: 20 Tr - 50 Tr VND,Hà Nội
